asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B07JMHLP7B,Panasonic DECT 6.0 Expandable Cordless Phone System with Answering Machine and Call Blocking - 3 Handsets - KX-TGE633M (Metallic Black),99.99,99.99,4.3,2151,3,49.52,False,False,True,False,900,"FREE delivery Tue, Sep 24",False
B088NQXD8T,"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",128.0,156.86,4.3,18826,40,96.69,False,False,False,True,2000,FREE delivery,True
B088MKVYTF,"Alcatel SMARTFLIP 4052R | 4G LTE | 4GB Flip-Phone | Bluetooth, WiFi, Big Buttons | Carrier locked to AT&amp;T. Phone is not unlocked - Volcano Black",41.9,41.9,3.9,541,10,22.95,False,False,False,False,500,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25,False
B08PMYLKVF,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",387.0,521.01,4.2,10317,17,353.72,False,False,False,True,1000,"FREE delivery Tomorrow, Sep 20 Only 12 left in stock - order soon.",True
B09YDMWFT1,Motorola Moto Edge 5G UW 256gb Nebula Blue for Verizon (Renewed),96.26,124.56,4.1,313,10,89.22,False,False,False,False,50,"FREE delivery Sep 25 - 27 Or fastest delivery Tomorrow, Sep 20",False
B096T56NRH,"Samsung Galaxy S21 Ultra 5G, US Version, 256GB, Phantom Black - Unlocked (Renewed)",358.99,358.99,4.1,855,14,283.95,False,False,True,True,200,"FREE delivery Tue, Sep 24 Only 8 left in stock - order soon.",False
B08PNCYYVZ,"Apple iPhone 12, 128GB, Black - Fully Unlocked (Renewed)",287.3,314.99,4.1,25638,20,284.92,True,False,False,False,2000,FREE delivery Sep 24 - 26 Only 1 left in stock - order soon.,True
B0CMDLJR6K,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Marble Gray",859.99,859.99,4.4,424,1,724.02,False,False,True,True,200,"FREE delivery Thu, Sep 26",False
B0DC6L8DXL,"SPIDERCASE Magnetic for iPhone 16 Plus Case,with 2 Pcs [Tempered Glass Screen Protector] Translucent Matte Back Slim Shockproof Protective Phone Case for iPhone 16 Plus 6.7&#x27;&#x27;,Black",9.99,19.99,4.3,158,1,9.99,False,False,True,False,100,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False
B0BTFHM2GZ,"Panasonic Cordless Phone with Advanced Call Block, Link2Cell Bluetooth, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 5 Handsets - KX-TGF975B (Black with Silver Trim)",159.99,179.99,4.3,1325,3,98.03,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B09LNT1F3H,"Apple iPhone 13, 128GB, Red - Unlocked (Renewed)",422.0,422.0,4.1,12051,29,305.96,False,False,False,True,500,"FREE delivery Tomorrow, Sep 20",True
B08WHKF6RJ,"Samsung Galaxy S21+ 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",229.95,229.95,4.1,2069,39,179.0,False,False,True,True,1000,"FREE delivery Wed, Sep 25",False
B08HH2LBHF,"Samsung Galaxy S20 Ultra, 128GB, Cosmic Black - Fully Unlocked (Renewed)",249.95,249.95,3.9,2074,25,224.93,False,False,False,True,400,"FREE delivery Sat, Sep 21 Only 4 left in stock - order soon.",False
B0CV4NH5T9,"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Lilac",349.99,399.99,4.4,266,3,313.91,False,False,True,True,500,"FREE delivery Tue, Sep 24",True
B09BTB5MKT,Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo,98.93,159.99,4.1,2079,7,80.04,False,False,True,False,300,"FREE delivery Wed, Sep 25",True
B0BV5SV5HL,Samsung Galaxy S23 Ultra 5G SM-S918B/DS Dual SIM 256GB ROM 8GB RAM GSM Factory Unlocked Global Model (Mobile Cell Phone) (Phantom Green),799.99,859.99,4.4,380,11,759.5,False,False,False,False,400,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20",False
B092NTYZ78,"Panasonic Compact Cordless Phone with DECT 6.0, 1.6&quot; Amber LCD and Illuminated HS Keypad, Call Block, Caller ID, Multiple Display Languages - 1 Handset - KX-TGB810S (Black/Silver)",19.89,24.99,4.2,5617,3,12.14,False,False,True,False,1000,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False
B07P6Y7954,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",187.0,187.0,4.4,64977,22,155.99,False,False,False,True,2000,"FREE delivery Tomorrow, Sep 20",True
B09V5LDZQ4,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera &amp; Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",225.62,379.99,4.0,1980,38,204.0,False,False,False,False,2000,"FREE delivery Fri, Sep 27 Or fastest delivery Tomorrow, Sep 20 Only 11 left in stock - order soon.",True
B0CQ9SZJN6,"OnePlus 12R, 16GB RAM+256GB, Dual-SIM, US Factory Unlocked Android Smartphone, 5500 mAh Battery, 50MP Camera, 80W Fast Charging, 2024, Iron Gray",549.99,599.99,4.4,397,2,493.11,False,False,True,False,400,"FREE delivery Tue, Sep 24",True
B09SNPBN6B,Moto G Power | 2022 | 3-Day Battery | Unlocked | Made for US by Motorola | 4/64GB | 50 MP Camera | Dark Grove,179.99,199.99,4.2,10670,6,79.79,False,False,True,False,469,"FREE delivery Tue, Sep 24 Only 17 left in stock - order soon.",True
B09LG4PSB6,Samsung Galaxy S20 FE 5G 128GB Blue Verizon (Renewed),152.93,478.98,4.1,1184,31,133.99,False,False,False,True,500,FREE delivery Sep 23 - 24 Only 20 left in stock - order soon.,True
B0CSB1GX4H,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Yellow,133.0,133.0,4.2,269,16,119.5,False,False,True,False,500,"FREE delivery Tue, Sep 24",False
B0BLZN9NDG,"SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5&#x27;&#x27; GSM Unlocked,International Version-Black",88.99,105.0,3.8,700,10,70.0,False,False,True,False,500,"FREE delivery Tue, Sep 24",True
B079Z792J7,Motorola G6 – 32 GB – Unlocked (AT&amp;T/Sprint/T-Mobile/Verizon) – Black - (U.S. Warranty) - PAAE0000US,69.72,69.72,4.2,2049,3,59.95,False,False,True,False,200,"FREE delivery Tue, Sep 24",True
B08WF93R89,"Samsung Galaxy S21 5G, US Version, 256GB, Phantom Gray - Unlocked (Renewed)",238.99,849.99,4.0,1038,15,164.99,False,False,False,True,400,FREE delivery Sep 23 - 25 Only 2 left in stock - order soon.,True
B09XP9FX25,"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",169.99,189.0,3.9,411,14,127.16,False,False,False,False,200,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 3 left in stock - order soon.",False
